model,domain,key_fields,key_relations,source_file
Org,Multi-Tenancy,id | name | slug | code | tier,Branches | Users | Settings,packages/db/prisma/schema.prisma#L13-L39
Branch,Multi-Tenancy,id | orgId | name | code | timezone | isActive,Org | Users | Operations | Events,packages/db/prisma/schema.prisma#L41-L71
User,Auth,id | orgId | email | phoneNumber | role | roleHierarchyLevel,Org | Sessions | WebAuthnCredentials | EmployeeProfile,packages/db/prisma/schema.prisma#L73-L111
Session,Auth,id | userId | token | expiresAt | mfaVerified,User,packages/db/prisma/schema.prisma#L113-L123
WebAuthnCredential,Auth,id | userId | credentialId | publicKey | counter,User,packages/db/prisma/schema.prisma#L125-L138
MSRCard,Auth,id | userId | orgId | encryptedTrackData | isActive,User | Org,packages/db/prisma/schema.prisma#L140-L152
Pin,Auth,id | userId | orgId | hashedPin | iterations | isActive,User | Org,packages/db/prisma/schema.prisma#L154-L165
MenuCategory,Menu,id | orgId | name | displayOrder | isActive,Org | MenuItems,packages/db/prisma/schema.prisma#L167-L182
MenuItem,Menu,id | orgId | categoryId | sku | name | description | basePrice | costPrice,Org | MenuCategory | OrderItems | RecipePortion | InventoryItem,packages/db/prisma/schema.prisma#L184-L223
ModifierGroup,Menu,id | orgId | name | isRequired | minSelections | maxSelections,Org | MenuItemModifierGroups | ModifierOptions,packages/db/prisma/schema.prisma#L225-L241
ModifierOption,Menu,id | modifierGroupId | name | priceAdjustment | isDefault,ModifierGroup | OrderItemModifiers | InventoryItem,packages/db/prisma/schema.prisma#L243-L258
MenuItemModifierGroup,Menu,menuItemId | modifierGroupId,MenuItem | ModifierGroup,packages/db/prisma/schema.prisma#L260-L270
MenuAvailabilityRule,Menu,id | menuItemId | dayOfWeek | startTime | endTime,MenuItem,packages/db/prisma/schema.prisma#L272-L285
Order,POS,id | branchId | orderNumber | status | total | tax | subtotal | customerId,Branch | Customer | OrderItems | Payments | Refunds | CashSession,packages/db/prisma/schema.prisma#L287-L331
OrderItem,POS,id | orderId | menuItemId | quantity | unitPrice | subtotal | tax | status,Order | MenuItem | OrderItemModifiers,packages/db/prisma/schema.prisma#L333-L362
OrderItemModifier,POS,id | orderItemId | modifierOptionId | quantity | priceAdjustment,OrderItem | ModifierOption,packages/db/prisma/schema.prisma#L364-L375
Payment,POS,id | orderId | branchId | method | amount | status | processedBy,Order | Branch | User | RefundedPayments,packages/db/prisma/schema.prisma#L377-L407
Refund,POS,id | orderId | branchId | amount | reason | status | processedBy,Order | Branch | User | RefundedPayments,packages/db/prisma/schema.prisma#L409-L433
RefundedPayment,POS,refundId | paymentId | amount,Refund | Payment,packages/db/prisma/schema.prisma#L435-L446
CashSession,POS,id | branchId | shiftId | startingCash | expectedCash | actualCash | status | openedBy,Branch | Shift | User | Orders | CashTenders,packages/db/prisma/schema.prisma#L448-L479
CashTender,POS,id | cashSessionId | paymentId | amount | type,CashSession | Payment,packages/db/prisma/schema.prisma#L481-L493
KDSTicket,KDS,id | orderId | branchId | station | status | slaMinutes | startedAt | completedAt,Order | Branch | KDSTicketItems,packages/db/prisma/schema.prisma#L495-L518
KDSTicketItem,KDS,id | ticketId | orderItemId | status | firedAt | startedAt | completedAt,KDSTicket | OrderItem,packages/db/prisma/schema.prisma#L520-L536
KDSSLAConfig,KDS,id | branchId | station | targetMinutes | alertMinutes | criticalMinutes,Branch,packages/db/prisma/schema.prisma#L538-L552
Customer,CRM,id | orgId | name | email | phoneNumber | tier | notes,Org | Orders | Reservations | CustomerInvoices | Feedback,packages/db/prisma/schema.prisma#L554-L576
Reservation,Reservations,id | branchId | customerId | guestName | phoneNumber | date | time | partySize | status | tableId | depositAmount | depositStatus,Branch | Customer | Table | ReservationDeposit | ReservationChangeLog,packages/db/prisma/schema.prisma#L578-L624
ReservationPolicy,Reservations,id | branchId | requiresDeposit | depositPercentage | depositAmount | refundHoursNotice | maxPartySize | minPartySize,Branch,packages/db/prisma/schema.prisma#L626-L647
ReservationDeposit,Reservations,id | reservationId | amount | method | status | refundedAt,Reservation,packages/db/prisma/schema.prisma#L649-L665
ReservationChangeLog,Reservations,id | reservationId | field | oldValue | newValue | changedBy,Reservation | User,packages/db/prisma/schema.prisma#L667-L681
WaitlistEntry,Reservations,id | branchId | guestName | phoneNumber | partySize | status | addedAt | seatedAt,Branch,packages/db/prisma/schema.prisma#L683-L703
Table,Floor,id | branchId | tableNumber | seatingCapacity | isActive | status,Branch | Reservations | FloorLayout,packages/db/prisma/schema.prisma#L705-L723
FloorLayout,Floor,id | branchId | name | isActive | svgData,Branch | Tables,packages/db/prisma/schema.prisma#L725-L738
Event,Events,id | branchId | name | type | description | startDateTime | endDateTime | maxCapacity | depositRequired | depositAmount,Branch | EventBookings | Promotions,packages/db/prisma/schema.prisma#L740-L770
EventBooking,Events,id | eventId | customerId | guestName | phoneNumber | partySize | status | totalAmount | depositPaid,Event | Customer,packages/db/prisma/schema.prisma#L772-L794
Promotion,Events,id | orgId | branchId | code | name | type | discountType | discountValue | startDateTime | endDateTime | isActive,Org | Branch | Event | Orders,packages/db/prisma/schema.prisma#L796-L827
FeedbackResponse,Feedback,id | branchId | customerId | orderId | rating | comment | source | respondedAt,Branch | Customer | Order,packages/db/prisma/schema.prisma#L829-L850
FeedbackNPS,Feedback,id | branchId | customerId | score | comment | timestamp,Branch | Customer,packages/db/prisma/schema.prisma#L852-L866
InventoryItem,Inventory,id | orgId | sku | name | description | itemType | currentStock | reorderLevel | unitOfMeasure | standardCost,Org | BranchInventoryLevels | PurchaseOrderItems | ProductionRecipes | MenuItem | ModifierOption | TransferItems | AdjustmentItems | StocktakeRecords | WasteEntries,packages/db/prisma/schema.prisma#L868-L909
BranchInventoryLevel,Inventory,id | branchId | inventoryItemId | currentStock | reorderLevel | reorderQuantity,Branch | InventoryItem,packages/db/prisma/schema.prisma#L911-L927
PurchaseOrder,Inventory,id | orgId | branchId | vendorId | poNumber | status | totalAmount | deliveryDate | createdBy | approvedBy,Org | Branch | Vendor | User | PurchaseOrderItems | Receipts,packages/db/prisma/schema.prisma#L929-L959
PurchaseOrderItem,Inventory,id | purchaseOrderId | inventoryItemId | quantity | unitPrice | totalPrice,PurchaseOrder | InventoryItem,packages/db/prisma/schema.prisma#L961-L976
Receipt,Inventory,id | branchId | vendorId | purchaseOrderId | receiptNumber | status | receivedDate | postedAt | receivedBy | postedBy,Branch | Vendor | PurchaseOrder | User | ReceiptItems,packages/db/prisma/schema.prisma#L978-L1007
ReceiptItem,Inventory,id | receiptId | poItemId | inventoryItemId | quantityReceived | unitPrice | totalPrice,Receipt | PurchaseOrderItem | InventoryItem,packages/db/prisma/schema.prisma#L1009-L1026
ProductionOrder,Inventory,id | branchId | productionNumber | status | totalCost | scheduledDate | startedAt | completedAt | postedAt | createdBy | postedBy,Branch | User | ProductionOrderRecipes,packages/db/prisma/schema.prisma#L1028-L1057
